"fishID","Lifestage","roi","sr87sr86_roi_mean","sr87sr86_roi_sd"
"KONG_22_0025","Juvenile","Natal",0.719294466137633,1.8988464615323e-05
"KONG_22_0025","Juvenile","Adult",0.717277125071331,0.000856498216380655
"KONG_22_0026","Juvenile","Core",0.722835900162176,NA
"KONG_22_0026","Juvenile","Natal",0.721679727610507,0.000680391707028166
"KONG_22_0026","Juvenile","Adult",0.718037201528983,0.00145236264746332
"KONG_22_0104","Juvenile","Core",0.721508230952922,NA
"KONG_22_0104","Juvenile","Natal",0.720580258235673,0.000522416212183424
"KONG_22_0104","Juvenile","Adult",0.715797267771729,0.000812692330021359
"KONG_22_0105","Juvenile","Core",0.720321182746891,NA
"KONG_22_0105","Juvenile","Natal",0.720060525583458,0.000148516340760262
"KONG_22_0105","Juvenile","Adult",0.716582754609614,0.00135021154071639
"KONG_22_0113","Juvenile","Core",0.724138367677153,NA
"KONG_22_0113","Juvenile","Natal",0.721446585934746,0.00147716476412265
"KONG_22_0113","Juvenile","Adult",0.71768252288425,0.00108145780558456
